duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
250,723081,002272_2014-06-28_18-53-56_260595134347_rgbf000067-resize,-0.528449496,0.528449496,2.673432232,-2.673432232,10.40924581,1.138
250,723081,001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize,-0.435560517,0.435560517,2.923703052,-2.923703052,4.99196035,1.86
250,723081,000943_2014-06-09_19-31-07_260595134347_rgbf000128-resize,-0.024959984,0.024959984,2.568473872,-2.568473872,15.89309915,1.9765
250,723081,000854_2014-06-09_19-43-13_260595134347_rgbf000066-resize,-2.012867854,2.012867854,5.075161411,-5.075161411,11.91082763,3.068
250,723081,002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize,-0.302268912,0.302268912,3.096973872,-3.096973872,17.28886318,2.505
250,723081,002660_2014-06-13_15-44-18_094959634447_rgbf001878-resize,-0.392503521,0.392503521,3.696244693,-3.696244693,15.11997681,3.576
250,723081,000739_2014-06-08_18-45-58_260595134347_rgbf000068-resize,-0.370465725,0.370465725,3.654244693,-3.654244693,8.164356964,3.534
250,723081,000734_2014-06-08_17-39-11_260595134347_rgbf000128-resize,-0.666401838,0.666401838,4.218244693,-4.218244693,16.05223162,4.098
250,723081,000522_2014-06-08_13-35-06_260595134347_rgbf000244-resize,-0.232220205,0.232220205,2.963473872,-2.963473872,25.74260985,2.3715
250,723081,000866_2014-06-09_20-45-42_260595134347_rgbf000139-resize,-0.675074955,0.675074955,3.807473872,-3.807473872,8.082259189,3.2155
250,723081,001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize,-0.788180658,0.788180658,3.168432232,-3.168432232,7.608284544,1.633
250,723081,003534_2014-05-22_15-06-10_094959634447_rgbf000102-resize,-1.151294988,1.151294988,3.433161411,-3.433161411,12.37699401,1.426
250,723081,002637_2014-06-24_14-51-13_094959634447_rgbf000066-resize,-0.034929463,0.034929463,2.587473872,-2.587473872,10.9720278,1.9955
250,723081,001016_2014-06-09_16-16-10_260595134347_rgbf000112-resize,-0.32878215,0.32878215,2.720203052,-2.720203052,7.049977084,1.6565
250,723081,002340_2014-06-28_20-05-46_260595134347_rgbf000113-resize,-0.285740566,0.285740566,3.065473872,-3.065473872,7.917686206,2.4735
250,723081,000773_2014-06-08_22-24-54_260595134347_rgbf000093-resize,-0.6537934,0.6537934,4.621515513,-4.621515513,21.45352632,4.973
250,723081,001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize,-0.233254212,0.233254212,3.392744693,-3.392744693,15.98498318,3.2725
250,723081,001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize,-0.388290434,0.388290434,4.115515513,-4.115515513,22.17951068,4.467
250,723081,001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize,-0.214086907,0.214086907,3.783515513,-3.783515513,18.95235575,4.135
250,723081,001447_2014-06-19_17-00-32_260595134347_rgbf000082-resize,-0.687259037,0.687259037,4.257994693,-4.257994693,46.83039942,4.13775
250,723081,002630_2014-06-24_14-47-50_094959634447_rgbf000055-resize,-0.095255635,0.095255635,3.129744693,-3.129744693,10.6614012,3.0095
250,723081,002758_2014-06-22_19-11-20_094959634447_rgbf000128-resize,-0.328504383,0.328504383,3.146973872,-3.146973872,7.204478276,2.555
250,723081,000502_2014-06-08_23-02-32_260595134347_rgbf000063-resize,-0.263440415,0.263440415,3.022973872,-3.022973872,13.89728758,2.431
250,723081,003083_2014-06-15_15-21-03_094959634447_rgbf000063-resize,-0.216972808,0.216972808,3.789015513,-3.789015513,19.17283446,4.1405
250,723081,001806_2014-06-26_20-50-20_260595134347_rgbf000091-resize,-0.892320066,0.892320066,3.794203052,-3.794203052,13.90986971,2.7305
250,723081,001617_2014-06-20_11-35-32_260595134347_rgbf000066-resize,-0.977045226,0.977045226,4.382973872,-4.382973872,19.97416996,3.791
250,723081,000493_2014-06-09_21-01-18_260595134347_rgbf000196-resize,-0.32114304,0.32114304,3.560244693,-3.560244693,19.62928538,3.44
250,723081,000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,-0.038046896,0.038046896,3.448015513,-3.448015513,12.34075727,3.7995
250,723081,000506_2014-06-08_23-21-00_260595134347_rgbf000070-resize,-0.173946636,0.173946636,3.707015513,-3.707015513,16.71621201,4.0585
250,723081,001449_2014-06-19_17-01-27_260595134347_rgbf000116-resize,-0.327439553,0.327439553,3.572244693,-3.572244693,8.994872109,3.452
250,723081,001450_2014-06-19_17-02-03_260595134347_rgbf000203-resize,-0.148848035,0.148848035,3.65918218,-3.65918218,12.34882649,4.010666667
250,723081,003228_2014-05-14_13-42-35_094959634447_rgbf000101-resize,-0.963958314,0.963958314,3.503432232,-3.503432232,14.40337639,1.968
250,723081,000368_2014-06-09_15-53-01_260595134347_rgbf000155-resize,-0.764028613,0.764028613,3.549703052,-3.549703052,21.09070096,2.486
250,723081,002763_2014-06-22_19-13-10_094959634447_rgbf000075-resize,-0.343080482,0.343080482,2.747453052,-2.747453052,5.591978359,1.68375
250,723081,002209_2014-06-28_18-36-10_260595134347_rgbf000051-resize,-0.067199093,0.067199093,2.648973872,-2.648973872,12.96206883,2.057
250,723081,001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize,-0.104931936,0.104931936,4.002786334,-4.002786334,35.55232951,4.826
250,723081,000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize,-0.482768953,0.482768953,3.440973872,-3.440973872,16.12201726,2.849
