duration,subjID,stimulus,pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,596417,001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize,2.047403876,2.047403876,1.555874902,-1.555874902,15.3490391,4.255
1000,596417,003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize,0.847882459,0.847882459,2.477038424,-2.477038424,19.99945736,3.6445
1000,596417,002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize,0.846047809,0.846047809,2.113656574,-2.113656574,8.475049544,2.8435
1000,596417,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,0.652568756,0.652568756,2.836038424,-2.836038424,24.35560653,4.0035
1000,596417,001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize,1.946792547,1.946792547,0.823920275,-0.823920275,8.40629861,2.429
1000,596417,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,0.114472257,0.114472257,3.274965648,-3.274965648,14.89611111,3.786
1000,596417,002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize,0.800822193,0.800822193,2.563538424,-2.563538424,18.09172628,3.731
1000,596417,002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize,0.194858575,0.194858575,2.393701947,-2.393701947,12.02060434,2.0295
1000,596417,003423_2014-05-21_10-23-26_094959634447_rgbf002665-resize,0.402002319,0.402002319,2.746465648,-2.746465648,35.43119222,3.2575
1000,596417,000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize,0.475480705,0.475480705,3.161538424,-3.161538424,13.24134837,4.329
1000,596417,003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize,0.585853193,0.585853193,3.325420275,-3.325420275,17.90745438,4.9305
1000,596417,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,0.018378032,0.018378032,3.818347499,-3.818347499,14.46030657,4.767
1000,596417,001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize,0.597619775,0.597619775,2.937038424,-2.937038424,25.87613691,4.1045
1000,596417,002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize,0.622038536,0.622038536,1.791892872,-1.791892872,21.7158464,1.6465
1000,596417,002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize,0.946115089,0.946115089,2.8466112,-2.8466112,35.71435076,4.6705
1000,596417,002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize,1.181315165,1.181315165,2.230920275,-2.230920275,27.2315944,3.836
1000,596417,000436_2014-06-09_22-25-11_260595134347_rgbf000137-resize,1.9289719,1.9289719,1.590183977,-1.590183977,20.69156546,4.0705
1000,596417,002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize,0.005219597,0.005219597,3.659156574,-3.659156574,17.10276028,4.389
1000,596417,001133_2014-06-17_14-49-16_260595134347_rgbf000100-resize,0.320597424,0.320597424,3.262847499,-3.262847499,26.75991825,4.2115
1000,596417,003070_2014-06-15_14-58-27_094959634447_rgbf000150-resize,0.792730976,0.792730976,2.211656574,-2.211656574,10.66482374,2.9415
1000,596417,002057_2014-06-24_21-00-13_260595134347_rgbf000120-resize,0.122430495,0.122430495,2.893583797,-2.893583797,10.99003685,2.967
1000,596417,000758_2014-06-08_22-05-08_260595134347_rgbf000085-resize,0.116003154,0.116003154,3.088774723,-3.088774723,11.91317738,3.381
1000,596417,001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize,0.065273588,0.065273588,2.448511021,-2.448511021,18.66779988,1.8655
1000,596417,002660_2014-06-13_15-44-18_094959634447_rgbf001878-resize,0.228722613,0.228722613,3.064965648,-3.064965648,15.11997681,3.576
1000,596417,001016_2014-06-09_16-16-10_260595134347_rgbf000112-resize,0.178979894,0.178979894,2.239511021,-2.239511021,7.049977084,1.6565
1000,596417,001059_2014-06-08_21-53-27_260595134347_rgbf000061-resize,0.858459692,0.858459692,1.907465648,-1.907465648,8.755513319,2.4185
1000,596417,001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize,0.175032505,0.175032505,2.980274723,-2.980274723,15.98498318,3.2725
1000,596417,002639_2014-06-24_14-51-37_094959634447_rgbf000074-resize,1.290498303,1.290498303,2.2136112,-2.2136112,16.52140679,4.0375
1000,596417,000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize,0.175064234,0.175064234,3.530347499,-3.530347499,19.08143291,4.479
1000,596417,001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize,2.059372961,2.059372961,1.533874902,-1.533874902,19.74344947,4.233
1000,596417,000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize,0.310633763,0.310633763,3.464538424,-3.464538424,18.91549954,4.632
1000,596417,002630_2014-06-24_14-47-50_094959634447_rgbf000055-resize,0.536926548,0.536926548,2.498465648,-2.498465648,10.6614012,3.0095
1000,596417,002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize,0.018314574,0.018314574,2.718201947,-2.718201947,8.789636111,2.354
